Molecular_Weight,Hydrogen_bond_Acceptor,Hydrogen_bond_Donor,xlogP,Physiological_Charge,Polarized_Surface_Area,BBB
214.69,2,2,1.8,0,40.5,1
228.29,2,2,3.3,0,40.5,1
433,2,0,7.1,0,6.5,1
374.5,5,3,1.9,0,94.8,1
446,6,0,4.8,0,61.3,1
189.21,2,0,0.8,0,37.4,1
165.23,2,2,0.9,0,32.3,0
179.22,3,1,2.4,0,52.3,1
106.16,0,0,3.1,0,0,1
120.19,0,0,3,0,0,1
86.18,0,0,3.2,0,0,1
84.16,0,0,3.4,0,0,1
180.55,3,0,3.8,0,0,1
106.16,0,0,3.1,0,0,1
104.15,0,0,2.9,0,0,1
109.13,2,1,0,0,33.1,0
106.16,0,0,3.2,0,0,1
122.99,0,0,2.1,0,0,1
54.09,0,0,2,0,0,1
57.09,1,1,0.1,0,26,1
86.18,0,0,3.2,0,0,1
86.13,1,0,0.9,0,17.1,1
89.14,2,1,-0.4,0,23.5,1
102.13,2,0,0.9,0,26.3,1
106.16,0,0,3.2,0,0,1
102.13,2,0,1.2,0,26.3,1
72.15,0,0,3.4,0,0,1
70.09,1,0,1.3,0,9.2,1
116.16,2,0,1.8,0,26.3,1
86.18,0,0,3.9,0,0,1
84.16,0,0,3.4,0,0,1
112.21,0,0,4.6,0,0,1
128.25,0,0,4.5,0,0,1
733.9,14,5,2.7,0,194,0
42.08,0,0,1.4,0,0,1
228.3,4,0,0.4,0,85,1
246.26,3,1,1.8,0,66.5,1
224.26,3,2,1.4,0,75.3,1
157.17,3,0,0.8,0,46.6,1
214.22,3,1,3.8,0,46.5,1
188.27,1,2,2.5,0,41.8,1
194.18,4,0,2.2,0,52.6,1
314.12,2,0,1.3,0,23.6,1
211.64,2,1,2.1,0,38.3,1
186.21,2,1,1.3,0,46.3,1
88.15,1,1,1.2,0,20.2,1
201.2,5,2,0.5,0,106,1
88.11,2,0,0.7,0,26.3,1
100.2,0,0,4.4,0,0,1
240.3,3,2,2.5,0,75.3,1
352.5,4,1,3.7,0,55.6,1
316.5,2,1,4.2,0,37.3,1
414.5,6,2,2.9,0,121,0
262.3,3,1,2.3,0,66.5,1
32.046,2,2,-1.5,0,52,1
327.4,4,1,2.6,0,49.8,1
430.6,4,1,3.7,0,73.4,1
211.69,1,1,2,0,29.1,1
363.5,4,1,3.6,0,30,1
295.4,3,0,2.7,0,26.8,1
446.6,7,0,3.7,0,80.8,1
270.71,2,0,2.8,0,32.7,1
392.5,3,0,3.8,0,32.8,1
260.29,3,1,2.7,0,66.5,1
287.35,4,1,1.8,0,41.9,1
181.23,2,1,1.7,0,52.3,1
98.48,2,0,1.5,0,0,1
181.23,3,3,0.6,0,52.5,0
392.5,6,3,1.9,0,94.8,1
598.2,9,0,6.3,0,89,1
126.08,4,0,1.9,0,9.2,1
376.5,5,2,2,0,74.6,1
309.4,2,0,4.4,0,20.3,1
267.4,2,2,3,0,32.3,1
295.4,2,0,3.5,0,20.3,1
339.5,3,0,4.2,0,29.5,1
247.33,3,1,1,0,40.5,1
188.26,3,1,1.7,0,38.7,1
480.6,6,1,4.7,0,52.2,0
359.6,3,0,5.9,0,53.8,1
195.17,4,3,0.9,0,86.6,1
204.27,2,2,1.2,0,39.3,1
197.66,1,1,1.7,0,29.1,1
353.5,3,0,4.3,0,29.5,1
250.29,3,2,2,0,75.3,1
251.29,4,0,-0.5,0,61.7,1
284.25,5,3,-1.6,0,85.8,1
398.9,4,1,3.2,0,55.9,1
155.15,3,0,0.8,0,46.6,1
161.65,2,0,2.1,0,41.1,1
149.23,1,1,2.1,0,12,1
